side,entry_time,exit_time,entry_price,exit_price,reason,pnl_pct,entry_year
SELL,2025-01-28 22:00:00,2025-01-29 00:00:00,100334.0,101718.76418259069,STOP,-1.3801544666720058,2025
SELL,2025-02-13 17:00:00,2025-02-13 19:00:00,95359.22,96343.92728832457,STOP,-1.03262934441428,2025
SELL,2025-02-21 18:00:00,2025-02-21 20:00:00,96971.91,94941.86207927512,TAKE_PROFIT,2.0934391420411194,2025
SELL,2025-03-10 17:00:00,2025-03-11 08:00:00,79009.01,80865.2492545847,STOP,-2.349401991728172,2025
SELL,2025-03-16 12:00:00,2025-03-16 13:00:00,82410.01,82997.18576066938,STOP,-0.7125053869904717,2025
BUY,2025-03-19 10:00:00,2025-03-19 18:00:00,83527.38,84906.85577634655,TAKE_PROFIT,1.6515252559658231,2025
SELL,2025-03-20 17:00:00,2025-03-23 10:00:00,83802.01,84461.98,TREND_REVERSAL,-0.7875348097259257,2025
BUY,2025-03-25 20:00:00,2025-03-25 22:00:00,88116.23,87326.64608625745,STOP,-0.8960709210352623,2025
SELL,2025-04-02 23:00:00,2025-04-04 08:00:00,82821.6,84348.8333427459,STOP,-1.8440036690258268,2025
SELL,2025-04-08 19:00:00,2025-04-09 17:00:00,77259.91,78714.59166918077,STOP,-1.8828415269714418,2025
BUY,2025-04-09 18:00:00,2025-04-10 15:00:00,82202.16,80302.07152596262,STOP,-2.3114824160793193,2025
SELL,2025-04-10 16:00:00,2025-04-11 01:00:00,78757.24,80244.65093017033,STOP,-1.8886021528564592,2025
BUY,2025-04-15 08:00:00,2025-04-15 14:00:00,85716.77,84860.91726646866,STOP,-0.9984659169160726,2025
BUY,2025-04-16 17:00:00,2025-04-16 17:00:00,85048.54,84197.5274422917,STOP,-1.0006198315788777,2025
BUY,2025-04-20 21:00:00,2025-04-20 22:00:00,85127.58,84700.28645890982,STOP,-0.5019448938759736,2025
BUY,2025-05-15 17:00:00,2025-05-15 18:00:00,103846.28,102842.88624695827,STOP,-0.9662298476572598,2025
BUY,2025-05-18 23:00:00,2025-05-19 01:00:00,105928.11,104915.4968068214,STOP,-0.9559437935582988,2025
BUY,2025-05-25 23:00:00,2025-05-27 01:00:00,109165.99,108242.5145381004,STOP,-0.8459369643417409,2025
BUY,2025-05-29 12:00:00,2025-05-29 13:00:00,108779.83,108007.026698148,STOP,-0.7104288560223042,2025
SELL,2025-05-29 16:00:00,2025-05-30 00:00:00,107019.9,105145.6784905146,TAKE_PROFIT,1.7512831814320413,2025
SELL,2025-06-20 15:00:00,2025-06-21 19:00:00,103940.01,102295.04504368975,TAKE_PROFIT,1.5826099654120134,2025
BUY,2025-06-30 00:00:00,2025-06-30 06:00:00,108356.93,107870.96862249913,STOP,-0.4484820467882045,2025
BUY,2025-07-02 07:00:00,2025-07-02 15:00:00,107014.39,108307.11448673201,TAKE_PROFIT,1.2079912680266751,2025
BUY,2025-07-08 13:00:00,2025-07-08 14:00:00,108949.19,108439.17266571245,STOP,-0.46812402578445017,2025
BUY,2025-07-21 07:00:00,2025-07-21 10:00:00,119169.26,118370.4022854216,STOP,-0.6703555216994659,2025
BUY,2025-07-22 13:00:00,2025-07-22 13:00:00,119293.7,118259.33089905277,STOP,-0.8670777257702831,2025
SELL,2025-07-23 14:00:00,2025-07-23 15:00:00,117381.44,118293.4704943309,STOP,-0.7769801548957842,2025
SELL,2025-07-28 15:00:00,2025-07-29 03:00:00,117985.94,118661.39346424269,STOP,-0.5724864032465969,2025
SELL,2025-08-05 08:00:00,2025-08-05 09:00:00,113969.7,114569.56383713226,STOP,-0.5263362429946375,2025
BUY,2025-08-10 04:00:00,2025-08-10 06:00:00,118500.0,117883.76474061482,STOP,-0.5200297547554287,2025
BUY,2025-08-12 21:00:00,2025-08-13 02:00:00,120192.09,119220.02741952529,STOP,-0.8087575317766007,2025
BUY,2025-08-17 09:00:00,2025-08-17 16:00:00,118366.05,117918.80381464135,STOP,-0.37785005528076454,2025
SELL,2025-08-17 19:00:00,2025-08-18 01:00:00,117542.01,116562.88339243463,TAKE_PROFIT,0.8330014158898332,2025
SELL,2025-08-19 04:00:00,2025-08-19 13:00:00,114810.01,115718.3817757361,STOP,-0.7911956246115657,2025
SELL,2025-08-21 17:00:00,2025-08-22 02:00:00,112379.58,113256.84440924591,STOP,-0.7806261682468546,2025
BUY,2025-08-22 15:00:00,2025-08-23 13:00:00,115808.24,114864.92,TREND_REVERSAL,-0.8145534376483115,2025
SELL,2025-08-23 14:00:00,2025-08-24 02:00:00,114864.92,115591.35876972736,STOP,-0.6324287430203784,2025
BUY,2025-09-04 23:00:00,2025-09-04 23:00:00,111490.74,110683.35381939994,STOP,-0.7241733085636206,2025
SELL,2025-09-05 15:00:00,2025-09-05 20:00:00,110569.99,111644.85883389217,STOP,-0.972116244102187,2025
BUY,2025-09-09 07:00:00,2025-09-09 14:00:00,113022.62,112339.8365765289,STOP,-0.6041121887557463,2025
SELL,2025-09-09 16:00:00,2025-09-09 21:00:00,110880.76,111692.51730095659,STOP,-0.7320993299077286,2025
SELL,2025-09-25 05:00:00,2025-09-25 17:00:00,111735.67,110151.74820931828,TAKE_PROFIT,1.4175614561417327,2025
BUY,2025-09-30 20:00:00,2025-10-01 08:00:00,114359.99,115897.04123029942,TAKE_PROFIT,1.344046314011935,2025
BUY,2025-10-08 18:00:00,2025-10-08 20:00:00,124033.19,122828.14228029056,STOP,-0.9715526301544323,2025
BUY,2025-10-09 13:00:00,2025-10-09 13:00:00,123563.38,122571.48197509564,STOP,-0.8027443283797894,2025
SELL,2025-10-14 05:00:00,2025-10-14 10:00:00,113062.09,110897.55671098272,TAKE_PROFIT,1.9144642461653347,2025
SELL,2025-10-21 04:00:00,2025-10-21 14:00:00,109059.23,110026.19669718969,STOP,-0.8866436130070743,2025
BUY,2025-10-21 15:00:00,2025-10-21 20:00:00,112170.52,110752.41068158901,STOP,-1.264244222466823,2025
SELL,2025-10-21 23:00:00,2025-10-23 06:00:00,109066.98,110246.94,TREND_REVERSAL,-1.0818673075939267,2025
SELL,2025-11-06 17:00:00,2025-11-06 18:00:00,100867.19,102264.55231545451,STOP,-1.385348709976461,2025
SELL,2025-11-11 14:00:00,2025-11-12 10:00:00,104390.93,104899.99,TREND_REVERSAL,-0.48764772954892943,2025
BUY,2025-11-12 11:00:00,2025-11-12 14:00:00,104900.0,103970.2897357854,STOP,-0.8862824253714067,2025
SELL,2025-11-12 16:00:00,2025-11-13 05:00:00,102173.51,103340.87243430199,STOP,-1.142529442613835,2025
SELL,2025-11-13 17:00:00,2025-11-14 04:00:00,100633.13,97876.89731608628,TAKE_PROFIT,2.7388919373905236,2025
SELL,2025-11-19 06:00:00,2025-11-19 07:00:00,90459.99,91772.54131152367,STOP,-1.4509744158977556,2025
SELL,2025-11-24 10:00:00,2025-11-24 16:00:00,85944.91,87108.94578631797,STOP,-1.3543975859861472,2025
SELL,2025-12-12 16:00:00,2025-12-14 23:00:00,89935.13,87750.70718982165,TAKE_PROFIT,2.428887143631584,2025
SELL,2025-12-15 15:00:00,2025-12-15 16:00:00,88050.0,86450.75580981403,TAKE_PROFIT,1.8162909598932095,2025
SELL,2025-12-17 19:00:00,2025-12-18 09:00:00,85829.25,87287.85240059206,STOP,-1.6994234489897821,2025
BUY,2025-12-18 14:00:00,2025-12-18 14:00:00,88851.7,87876.4356524402,STOP,-1.0976316126307113,2025
SELL,2025-12-18 19:00:00,2025-12-19 03:00:00,85970.0,87343.58411374078,STOP,-1.5977481839488008,2025
SELL,2025-12-21 14:00:00,2025-12-21 15:00:00,87670.1,88203.46418585877,STOP,-0.6083763858587652,2025
SELL,2025-12-22 20:00:00,2025-12-23 00:00:00,88052.42,88931.89646227781,STOP,-0.998810097755197,2025
BUY,2025-12-26 03:00:00,2025-12-26 07:00:00,89200.0,88464.09603823631,STOP,-0.8250044414391122,2025
BUY,2025-12-29 01:00:00,2025-12-29 01:00:00,88295.68,87920.77138628442,STOP,-0.42460583996359536,2025
BUY,2025-12-30 15:00:00,2025-12-30 15:00:00,88875.82,88241.28978671036,STOP,-0.7139514586640626,2025
SELL,2025-12-31 16:00:00,2026-01-01 19:00:00,87953.97,88391.15,TREND_REVERSAL,-0.49705544843512234,2025
BUY,2026-01-09 17:00:00,2026-01-09 18:00:00,91623.89,90703.44070736616,STOP,-1.0045953000181966,2026
SELL,2026-01-12 09:00:00,2026-01-12 15:00:00,90752.28,91455.93509935416,STOP,-0.7753580398797258,2026
BUY,2026-01-12 17:00:00,2026-01-12 17:00:00,92123.51,91342.41890532257,STOP,-0.8478737888704239,2026
SELL,2026-01-21 17:00:00,2026-01-21 19:00:00,87602.39,88764.99663699212,STOP,-1.3271403177380403,2026
