removed_top_winners,trades,wins,losses,win_rate_pct,simple_return_pct,compounded_return_pct,ending_equity,profit_factor,expectancy_pct,median_trade_pct,max_drawdown_pct,max_loss_streak,payoff_ratio,trade_sharpe,recovery_factor,average_clock_hours,scope,scenario,asset,market
3,22,10,12,45.45454545454545,-2.027779509693806,-2.480625811015173,97.51937418898483,0.8901064603332273,-0.092171795895173,-0.10090504001001532,-12.430763756001683,3,1.0681277523998727,-0.20222414419841767,-0.1995553820912657,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BINANCE_SPOT
0,24,12,12,50.0,9.069539922675286,8.558914431751788,108.55891443175179,1.4593107261511666,0.37789749677813694,-0.01569703418020811,-7.675826515985895,3,1.4593107261511669,0.6800665732739266,1.1150479253181074,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
1,23,11,12,47.82608695652174,1.883323117884283,1.280666178806129,101.28066617880613,1.0953775512570374,0.08188361382105579,-0.20838332093311518,-10.998333374367796,3,1.194957328644041,0.16670796818560563,0.11644184034199127,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
2,22,10,12,45.45454545454545,-3.0284398552374725,-3.4610959642780017,96.538904035722,0.846630047293077,-0.13765635705624876,-0.23174196590458132,-13.456697845120901,3,1.0159560567516923,-0.2993614664152807,-0.2572024730073669,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
3,21,9,12,42.857142857142854,-6.507822122156995,-6.707112160077401,93.2928878399226,0.6704229178023351,-0.30989629153128545,-0.25510061087604746,-13.456697845120901,3,0.8938972237364468,-0.6930218955148159,-0.49842184444300724,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,BYBIT_PERPETUAL
0,26,14,12,53.84615384615385,9.156609429562026,8.539713720483604,108.5397137204836,1.4009917754741148,0.3521772857523856,0.18033129304938864,-9.88152186981135,4,1.2008500932635269,0.648404760219754,0.8642103749800878,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
1,25,13,12,52.0,1.9106462059688065,1.206339574938724,101.20633957493872,1.0836721736717077,0.07642584823875226,0.157422583735965,-13.321033996362253,4,1.000312775696961,0.1569170410157954,0.09055900429862687,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
2,24,12,12,50.0,-2.9516274976212475,-3.486415084785804,96.5135849152142,0.8707405443123748,-0.12298447906755199,-0.022026885031112428,-13.321033996362242,4,0.8707405443123748,-0.26547044509320433,-0.2617225574034183,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
3,23,11,12,47.82608695652174,-6.446679033696506,-6.745700898006234,93.25429910199377,0.7176831346231877,-0.2802903927694133,-0.20147635379818984,-16.24820248200556,4,0.7829270559525683,-0.6158590160072215,-0.4151659794661541,24.0,BTC_COMMON_PERIOD,BTC_COMMON_COST,BTC,OKX_PERPETUAL
0,20,10,10,50.0,6.732543824535151,6.222604951063261,106.22260495106326,1.4123501730326538,0.33662719122675755,-0.01569703418020811,-7.675826515985884,3,1.4123501730326538,0.5571738061128032,0.8106755589256603,24.0,ASSET_COMMON_PERIOD,ASSET_COMMON_COST,BTC,BYBIT_PERPETUAL
